Trade Date,Market Code,Transaction Type,Instrument Code,Comments,Quantity,Price,Amount
19/08/2024,"",BUY,RPF,Raiz Property Fund,0.05666043,1.0809,0.06124426
19/08/2024,ASX,BUY,HACK,Betashares Global Cybersecurity ETF (HACK),0.0051858,11.81,0.06124426
17/09/2024,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.06334661,50.2,3.18
17/09/2024,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.02366288,74.04,1.752
17/09/2024,ASX,BUY,IEU,iShares Europe ETF (IEU),0.02612389,84.75,2.214
17/09/2024,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.05399677,55.67,3.006
17/09/2024,ASX,BUY,ETHI,Betashares Global Sustainability Leaders ETF (ETHI),0.25132383,14.73,3.702
17/09/2024,ASX,BUY,NDQ,Betashares Nasdaq 100 ETF (NDQ),0.38081776,42.7291,16.272
17/09/2024,ASX,BUY,IOO,iShares Global 100 ETF (IOO),0.09238916,141.9647,13.11599999
17/09/2024,"",BUY,RPF,Raiz Property Fund,6.80898253,1.0821,7.368
17/09/2024,ASX,BUY,HACK,Betashares Global Cybersecurity ETF (HACK),0.79846939,11.76,9.39
18/09/2024,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.00038128,50.2,0.01914024
18/09/2024,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.00129151,74.1,0.09570119
18/09/2024,ASX,BUY,IEU,iShares Europe ETF (IEU),0.00045276,84.5496,0.03828047
18/09/2024,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.00034369,55.69,0.01914024
18/09/2024,ASX,BUY,ETHI,Betashares Global Sustainability Leaders ETF (ETHI),0.00129852,14.74,0.01914024
18/09/2024,ASX,BUY,NDQ,Betashares Nasdaq 100 ETF (NDQ),0.00089503,42.77,0.03828048
18/09/2024,ASX,BUY,IOO,iShares Global 100 ETF (IOO),0.00027015,141.7,0.03828048
18/09/2024,"",BUY,RPF,Raiz Property Fund,0.05306415,1.0821,0.05742071
18/09/2024,ASX,BUY,HACK,Betashares Global Cybersecurity ETF (HACK),0.00492037,11.67,0.05742071
